site,habitat,lat,lon,plot,treatment,species,survival23,dead23,height23,rhizome23,leaflength23,taproot23,survival24,dead24,height24,ramets24,leaflength24,numleaves24,numflower24,flower24,biomass_a24,biomass_b24,biomass24,notes24
13,B,58.69055556,-93.85027778,1,0,Lvul,1,0,29,8.8,,,1,0,4.5,6,,,,0,0.1227,0.3398,0.4625,
13,B,58.69055556,-93.85027778,1,0,Pmaj,1,0,,,6.8,,1,0,,,4.7,3,,0,0.0745,0.1922,0.2667,
13,B,58.69055556,-93.85027778,1,0,Toff,1,0,,,7.2,4.4,1,0,,,2.8,2,,0,0.0092,0.0886,0.0978,
13,B,58.69055556,-93.85027778,2,20,Lvul,1,0,30.8,1.9,,,1,0,10.6,8,,,,0,0.7109,0.32,1.0309,
13,B,58.69055556,-93.85027778,2,20,Pmaj,1,0,,,11.2,,1,0,,,14.7,5,1,1,0.5133,0.8695,1.3828,
13,B,58.69055556,-93.85027778,2,20,Toff,1,0,,,10.7,1.2,1,0,,,9,2,2,1,0.2658,NA,NA,
13,B,58.69055556,-93.85027778,3,5,Lvul,1,0,31.1,2.1,,,1,0,6.8,16,,,,0,0.391,0.6149,1.0059,
13,B,58.69055556,-93.85027778,3,5,Pmaj,1,0,,,8.2,,0,1,,,,,,0,,,,
13,B,58.69055556,-93.85027778,3,5,Toff,1,0,,,8.4,5.7,1,0,,,6,3,,0,0.1034,0.2178,0.3212,
14,B,58.68666667,-93.84833333,1,20,Lvul,1,0,19.1,1.6,,,1,0,11.6,3,,,,0,0.2198,0.2203,0.4401,
14,B,58.68666667,-93.84833333,1,20,Pmaj,1,0,,,7.8,,1,0,,,13.3,3,,0,0.55,0.3511,0.9011,
14,B,58.68666667,-93.84833333,1,20,Toff,1,0,,,13.4,5.9,1,0,,,13,10,4,1,1.7058,1.0143,2.7201,
14,B,58.68666667,-93.84833333,2,0,Lvul,1,0,12.8,3,,,1,0,3.4,1,,,,0,NA,NA,NA,
14,B,58.68666667,-93.84833333,2,0,Pmaj,1,0,,,5.4,,1,0,,,4.1,3,,0,0.0379,0.0545,0.0924,
14,B,58.68666667,-93.84833333,2,0,Toff,1,0,,,12.1,4.9,1,0,,,6.2,2,,0,0.1465,0.2133,0.3598,
14,B,58.68666667,-93.84833333,3,5,Lvul,1,0,10.1,1.1,,,1,0,13.8,5,,,,0,0.3906,0.2858,0.6764,
14,B,58.68666667,-93.84833333,3,5,Pmaj,1,0,,,5.9,,1,0,,,8.1,3,1,1,0.1801,0.151,0.3311,
14,B,58.68666667,-93.84833333,3,5,Toff,1,0,,,6.4,3.1,1,0,,,6.3,4,,0,0.1031,0.2319,0.335,
15,B,58.68277778,-93.84694444,1,0,Lvul,1,0,23,9,,,1,0,2,6,,,,0,0.0196,0.1144,0.134,
15,B,58.68277778,-93.84694444,1,0,Pmaj,1,0,,,6,,1,0,,,5.3,6,1,1,0.0724,0.122,0.1944,
